03:23:47.230: Single log message before 1700 msec sleep
END OF LOG BATCH
03:23:48.939: Second log message before 1700 msec sleep
END OF LOG BATCH
03:23:50.645: 0 iteration log message
03:23:50.662: 1 iteration log message
03:23:50.677: 2 iteration log message
03:23:50.693: 3 iteration log message
03:23:50.708: 4 iteration log message
03:23:50.724: 5 iteration log message
03:23:50.739: 6 iteration log message
03:23:50.754: 7 iteration log message
03:23:50.770: 8 iteration log message
03:23:50.785: 9 iteration log message
03:23:50.801: 10 iteration log message
03:23:50.817: 11 iteration log message
03:23:50.832: 12 iteration log message
03:23:50.849: 13 iteration log message
03:23:50.864: 14 iteration log message
03:23:50.879: 15 iteration log message
03:23:50.894: 16 iteration log message
03:23:50.909: 17 iteration log message
03:23:50.924: 18 iteration log message
03:23:50.939: 19 iteration log message
03:23:50.955: 20 iteration log message
03:23:50.971: 21 iteration log message
03:23:50.986: 22 iteration log message
03:23:51.002: 23 iteration log message
03:23:51.018: 24 iteration log message
03:23:51.033: 25 iteration log message
03:23:51.049: 26 iteration log message
03:23:51.064: 27 iteration log message
03:23:51.080: 28 iteration log message
03:23:51.096: 29 iteration log message
03:23:51.111: 30 iteration log message
03:23:51.126: 31 iteration log message
03:23:51.142: 32 iteration log message
03:23:51.157: 33 iteration log message
03:23:51.173: 34 iteration log message
03:23:51.188: 35 iteration log message
03:23:51.204: 36 iteration log message
03:23:51.219: 37 iteration log message
03:23:51.234: 38 iteration log message
03:23:51.249: 39 iteration log message
03:23:51.265: 40 iteration log message
03:23:51.280: 41 iteration log message
03:23:51.297: 42 iteration log message
03:23:51.312: 43 iteration log message
03:23:51.327: 44 iteration log message
03:23:51.343: 45 iteration log message
03:23:51.358: 46 iteration log message
03:23:51.373: 47 iteration log message
03:23:51.388: 48 iteration log message
03:23:51.404: 49 iteration log message
END OF LOG BATCH
03:23:51.420: 50 iteration log message
03:23:51.436: 51 iteration log message
03:23:51.451: 52 iteration log message
03:23:51.466: 53 iteration log message
03:23:51.482: 54 iteration log message
03:23:51.498: 55 iteration log message
03:23:51.514: 56 iteration log message
03:23:51.530: 57 iteration log message
03:23:51.546: 58 iteration log message
03:23:51.562: 59 iteration log message
