17:43:12.704: Single log message before 1700 msec sleep
END OF LOG BATCH
17:43:14.434: Second log message before 1700 msec sleep
END OF LOG BATCH
17:43:16.139: 0 iteration log message
17:43:16.155: 1 iteration log message
17:43:16.170: 2 iteration log message
17:43:16.186: 3 iteration log message
17:43:16.202: 4 iteration log message
17:43:16.218: 5 iteration log message
17:43:16.234: 6 iteration log message
17:43:16.249: 7 iteration log message
17:43:16.265: 8 iteration log message
17:43:16.280: 9 iteration log message
17:43:16.297: 10 iteration log message
17:43:16.312: 11 iteration log message
17:43:16.327: 12 iteration log message
17:43:16.343: 13 iteration log message
17:43:16.358: 14 iteration log message
17:43:16.374: 15 iteration log message
17:43:16.389: 16 iteration log message
17:43:16.405: 17 iteration log message
17:43:16.420: 18 iteration log message
17:43:16.437: 19 iteration log message
17:43:16.453: 20 iteration log message
17:43:16.468: 21 iteration log message
17:43:16.484: 22 iteration log message
17:43:16.499: 23 iteration log message
17:43:16.514: 24 iteration log message
17:43:16.530: 25 iteration log message
17:43:16.546: 26 iteration log message
17:43:16.562: 27 iteration log message
17:43:16.578: 28 iteration log message
17:43:16.593: 29 iteration log message
17:43:16.608: 30 iteration log message
17:43:16.623: 31 iteration log message
17:43:16.638: 32 iteration log message
17:43:16.654: 33 iteration log message
17:43:16.670: 34 iteration log message
17:43:16.686: 35 iteration log message
17:43:16.702: 36 iteration log message
17:43:16.717: 37 iteration log message
17:43:16.732: 38 iteration log message
17:43:16.747: 39 iteration log message
17:43:16.762: 40 iteration log message
17:43:16.778: 41 iteration log message
17:43:16.793: 42 iteration log message
17:43:16.808: 43 iteration log message
17:43:16.824: 44 iteration log message
17:43:16.841: 45 iteration log message
17:43:16.856: 46 iteration log message
17:43:16.872: 47 iteration log message
17:43:16.887: 48 iteration log message
17:43:16.902: 49 iteration log message
END OF LOG BATCH
17:43:16.917: 50 iteration log message
17:43:16.932: 51 iteration log message
17:43:16.948: 52 iteration log message
17:43:16.964: 53 iteration log message
17:43:16.979: 54 iteration log message
17:43:16.995: 55 iteration log message
17:43:17.010: 56 iteration log message
17:43:17.026: 57 iteration log message
17:43:17.042: 58 iteration log message
17:43:17.057: 59 iteration log message
17:43:17.073: 60 iteration log message
17:43:17.089: 61 iteration log message
17:43:17.106: 62 iteration log message
17:43:17.122: 63 iteration log message
17:43:17.138: 64 iteration log message
17:43:17.154: 65 iteration log message
17:43:17.169: 66 iteration log message
17:43:17.184: 67 iteration log message
17:43:17.200: 68 iteration log message
17:43:17.216: 69 iteration log message
17:43:17.232: 70 iteration log message
17:43:17.247: 71 iteration log message
17:43:17.262: 72 iteration log message
17:43:17.277: 73 iteration log message
17:43:17.292: 74 iteration log message
17:43:17.307: 75 iteration log message
17:43:17.322: 76 iteration log message
17:43:17.337: 77 iteration log message
17:43:17.353: 78 iteration log message
17:43:17.369: 79 iteration log message
17:43:17.384: 80 iteration log message
17:43:17.401: 81 iteration log message
17:43:17.417: 82 iteration log message
17:43:17.432: 83 iteration log message
17:43:17.448: 84 iteration log message
17:43:17.464: 85 iteration log message
17:43:17.480: 86 iteration log message
17:43:17.495: 87 iteration log message
17:43:17.511: 88 iteration log message
17:43:17.527: 89 iteration log message
17:43:17.542: 90 iteration log message
17:43:17.557: 91 iteration log message
17:43:17.573: 92 iteration log message
17:43:17.589: 93 iteration log message
17:43:17.605: 94 iteration log message
17:43:17.621: 95 iteration log message
17:43:17.636: 96 iteration log message
17:43:17.651: 97 iteration log message
17:43:17.666: 98 iteration log message
17:43:17.682: 99 iteration log message
END OF LOG BATCH
17:43:17.699: 100 iteration log message
17:43:17.715: 101 iteration log message
17:43:17.731: 102 iteration log message
17:43:17.747: 103 iteration log message
17:43:17.762: 104 iteration log message
17:43:17.777: 105 iteration log message
17:43:17.793: 106 iteration log message
17:43:17.809: 107 iteration log message
17:43:17.825: 108 iteration log message
17:43:17.840: 109 iteration log message
17:43:17.855: 110 iteration log message
17:43:17.871: 111 iteration log message
17:43:17.887: 112 iteration log message
17:43:17.902: 113 iteration log message
17:43:17.918: 114 iteration log message
17:43:17.934: 115 iteration log message
17:43:17.950: 116 iteration log message
17:43:17.966: 117 iteration log message
17:43:17.982: 118 iteration log message
17:43:17.997: 119 iteration log message
17:43:18.012: 120 iteration log message
17:43:18.028: 121 iteration log message
17:43:18.043: 122 iteration log message
17:43:18.060: 123 iteration log message
17:43:18.075: 124 iteration log message
17:43:18.091: 125 iteration log message
17:43:18.107: 126 iteration log message
17:43:18.123: 127 iteration log message
17:43:18.139: 128 iteration log message
17:43:18.155: 129 iteration log message
17:43:18.170: 130 iteration log message
17:43:18.185: 131 iteration log message
17:43:18.200: 132 iteration log message
17:43:18.215: 133 iteration log message
17:43:18.231: 134 iteration log message
17:43:18.247: 135 iteration log message
17:43:18.262: 136 iteration log message
17:43:18.277: 137 iteration log message
17:43:18.293: 138 iteration log message
17:43:18.309: 139 iteration log message
17:43:18.325: 140 iteration log message
17:43:18.340: 141 iteration log message
17:43:18.356: 142 iteration log message
17:43:18.371: 143 iteration log message
17:43:18.387: 144 iteration log message
17:43:18.403: 145 iteration log message
17:43:18.418: 146 iteration log message
17:43:18.434: 147 iteration log message
17:43:18.449: 148 iteration log message
17:43:18.466: 149 iteration log message
END OF LOG BATCH
17:43:18.481: 150 iteration log message
17:43:18.497: 151 iteration log message
17:43:18.513: 152 iteration log message
17:43:18.528: 153 iteration log message
17:43:18.543: 154 iteration log message
17:43:18.560: 155 iteration log message
17:43:18.576: 156 iteration log message
17:43:18.591: 157 iteration log message
17:43:18.607: 158 iteration log message
17:43:18.623: 159 iteration log message
17:43:18.639: 160 iteration log message
17:43:18.654: 161 iteration log message
17:43:18.670: 162 iteration log message
17:43:18.685: 163 iteration log message
17:43:18.700: 164 iteration log message
17:43:18.716: 165 iteration log message
17:43:18.732: 166 iteration log message
17:43:18.748: 167 iteration log message
17:43:18.763: 168 iteration log message
17:43:18.779: 169 iteration log message
17:43:18.795: 170 iteration log message
17:43:18.810: 171 iteration log message
17:43:18.826: 172 iteration log message
17:43:18.841: 173 iteration log message
17:43:18.856: 174 iteration log message
17:43:18.872: 175 iteration log message
17:43:18.887: 176 iteration log message
17:43:18.903: 177 iteration log message
17:43:18.919: 178 iteration log message
17:43:18.934: 179 iteration log message
17:43:18.948: 180 iteration log message
17:43:18.964: 181 iteration log message
17:43:18.979: 182 iteration log message
17:43:18.994: 183 iteration log message
17:43:19.010: 184 iteration log message
17:43:19.025: 185 iteration log message
17:43:19.041: 186 iteration log message
17:43:19.056: 187 iteration log message
17:43:19.072: 188 iteration log message
17:43:19.087: 189 iteration log message
17:43:19.102: 190 iteration log message
17:43:19.118: 191 iteration log message
